Vardas               Pavarde               ND1                 ND2                 ND3                 ND4                 ND5                 Egz.
Vardas1326           Pavarde1326           3                   8                   5                   3                   9                   6                   
Vardas1327           Pavarde1327           4                   9                   6                   6                   8                   4                   
Vardas1328           Pavarde1328           10                  3                   1                   10                  1                   10                  
Vardas1329           Pavarde1329           3                   3                   2                   10                  9                   3                   
Vardas1330           Pavarde1330           7                   7                   9                   5                   6                   8                   
Vardas1331           Pavarde1331           3                   4                   10                  3                   5                   5                   
Vardas1332           Pavarde1332           2                   9                   10                  10                  1                   1                   
Vardas1333           Pavarde1333           4                   9                   3                   5                   5                   8                   
Vardas1334           Pavarde1334           9                   6                   4                   7                   3                   4                   
Vardas1335           Pavarde1335           1                   5                   3                   5                   7                   4                   
Vardas1336           Pavarde1336           1                   1                   1                   8                   8                   5                   
Vardas1337           Pavarde1337           9                   4                   6                   6                   4                   7                   
Vardas1338           Pavarde1338           6                   9                   7                   5                   8                   3                   
Vardas1339           Pavarde1339           10                  4                   6                   5                   9                   8                   
Vardas1340           Pavarde1340           8                   9                   6                   1                   8                   6                   
Vardas1341           Pavarde1341           9                   9                   6                   6                   2                   2                   
Vardas1342           Pavarde1342           10                  2                   3                   5                   7                   1                   
Vardas1343           Pavarde1343           4                   6                   9                   5                   9                   9                   
Vardas1344           Pavarde1344           5                   4                   7                   2                   2                   2                   
Vardas1345           Pavarde1345           2                   4                   1                   5                   1                   5                   
Vardas1346           Pavarde1346           10                  10                  7                   8                   5                   10                  
Vardas1347           Pavarde1347           2                   3                   10                  5                   1                   7                   
Vardas1348           Pavarde1348           5                   6                   8                   7                   10                  9                   
Vardas1349           Pavarde1349           3                   3                   1                   4                   5                   9                   
Vardas1350           Pavarde1350           8                   9                   5                   10                  6                   1                   
Vardas1351           Pavarde1351           10                  8                   9                   7                   9                   1                   
Vardas1352           Pavarde1352           4                   8                   7                   10                  8                   5                   
Vardas1353           Pavarde1353           1                   1                   10                  2                   8                   10                  
Vardas1354           Pavarde1354           6                   1                   8                   2                   1                   8                   
Vardas1355           Pavarde1355           6                   2                   10                  3                   9                   1                   
Vardas1356           Pavarde1356           2                   1                   8                   9                   4                   4                   
Vardas1357           Pavarde1357           9                   10                  7                   2                   10                  9                   
Vardas1358           Pavarde1358           5                   9                   9                   4                   10                  9                   
Vardas1359           Pavarde1359           10                  4                   8                   10                  4                   4                   
Vardas1360           Pavarde1360           4                   7                   10                  9                   2                   1                   
Vardas1361           Pavarde1361           1                   3                   4                   9                   8                   7                   
Vardas1362           Pavarde1362           9                   1                   9                   5                   4                   3                   
Vardas1363           Pavarde1363           3                   8                   6                   3                   8                   4                   
Vardas1364           Pavarde1364           1                   1                   4                   4                   10                  7                   
Vardas1365           Pavarde1365           2                   3                   2                   2                   2                   1                   
Vardas1366           Pavarde1366           7                   4                   10                  9                   2                   4                   
Vardas1367           Pavarde1367           9                   9                   2                   5                   3                   7                   
Vardas1368           Pavarde1368           1                   4                   2                   1                   9                   1                   
Vardas1369           Pavarde1369           3                   6                   6                   7                   2                   4                   
Vardas1370           Pavarde1370           1                   2                   7                   8                   5                   6                   
Vardas1371           Pavarde1371           10                  3                   3                   8                   4                   3                   
Vardas1372           Pavarde1372           5                   1                   3                   8                   6                   1                   
Vardas1373           Pavarde1373           9                   4                   6                   1                   4                   1                   
Vardas1374           Pavarde1374           8                   7                   5                   9                   1                   6                   
Vardas1375           Pavarde1375           4                   2                   1                   4                   7                   8                   
Vardas1376           Pavarde1376           5                   3                   8                   8                   2                   6                   
Vardas1377           Pavarde1377           2                   7                   4                   3                   10                  7                   
Vardas1378           Pavarde1378           9                   2                   1                   7                   3                   9                   
Vardas1379           Pavarde1379           8                   4                   3                   7                   3                   3                   
Vardas1380           Pavarde1380           10                  9                   4                   7                   10                  4                   
Vardas1381           Pavarde1381           1                   8                   9                   1                   9                   6                   
Vardas1382           Pavarde1382           6                   6                   7                   6                   2                   1                   
Vardas1383           Pavarde1383           2                   7                   5                   10                  5                   9                   
Vardas1384           Pavarde1384           8                   1                   6                   7                   2                   5                   
Vardas1385           Pavarde1385           6                   5                   10                  6                   4                   5                   
Vardas1386           Pavarde1386           2                   4                   7                   4                   3                   8                   
Vardas1387           Pavarde1387           10                  1                   5                   7                   6                   1                   
Vardas1388           Pavarde1388           6                   7                   6                   7                   3                   1                   
Vardas1389           Pavarde1389           1                   9                   9                   4                   5                   8                   
Vardas1390           Pavarde1390           7                   6                   10                  7                   8                   4                   
Vardas1391           Pavarde1391           2                   6                   3                   1                   5                   5                   
Vardas1392           Pavarde1392           2                   4                   6                   8                   7                   5                   
Vardas1393           Pavarde1393           8                   7                   9                   7                   2                   7                   
Vardas1394           Pavarde1394           2                   4                   6                   5                   2                   3                   
Vardas1395           Pavarde1395           3                   9                   2                   3                   3                   4                   
Vardas1396           Pavarde1396           2                   7                   9                   4                   4                   7                   
Vardas1397           Pavarde1397           6                   2                   2                   3                   6                   3                   
Vardas1398           Pavarde1398           5                   6                   10                  3                   3                   5                   
Vardas1399           Pavarde1399           3                   4                   2                   7                   7                   4                   
Vardas1400           Pavarde1400           4                   1                   10                  5                   6                   8                   
Vardas1401           Pavarde1401           4                   10                  6                   7                   4                   5                   
Vardas1402           Pavarde1402           7                   1                   8                   9                   4                   4                   
Vardas1403           Pavarde1403           9                   4                   8                   1                   5                   7                   
Vardas1404           Pavarde1404           6                   8                   6                   4                   3                   1                   
Vardas1405           Pavarde1405           4                   10                  1                   1                   4                   6                   
Vardas1406           Pavarde1406           9                   3                   3                   5                   8                   6                   
Vardas1407           Pavarde1407           7                   4                   1                   2                   2                   8                   
Vardas1408           Pavarde1408           4                   10                  7                   6                   2                   10                  
Vardas1409           Pavarde1409           6                   2                   5                   3                   10                  10                  
Vardas1410           Pavarde1410           10                  3                   5                   8                   2                   10                  
Vardas1411           Pavarde1411           1                   9                   6                   1                   9                   4                   
Vardas1412           Pavarde1412           2                   1                   5                   7                   9                   5                   
Vardas1413           Pavarde1413           5                   6                   10                  1                   5                   4                   
Vardas1414           Pavarde1414           1                   7                   8                   2                   5                   4                   
Vardas1415           Pavarde1415           1                   10                  5                   1                   1                   5                   
Vardas1416           Pavarde1416           4                   5                   7                   6                   8                   5                   
Vardas1417           Pavarde1417           4                   9                   3                   1                   6                   6                   
Vardas1418           Pavarde1418           4                   4                   7                   1                   6                   7                   
Vardas1419           Pavarde1419           10                  8                   3                   7                   1                   4                   
Vardas1420           Pavarde1420           5                   7                   4                   3                   8                   3                   
Vardas1421           Pavarde1421           4                   1                   9                   3                   5                   10                  
Vardas1422           Pavarde1422           4                   8                   8                   2                   10                  1                   
Vardas1423           Pavarde1423           3                   9                   10                  6                   3                   7                   
Vardas1424           Pavarde1424           1                   8                   10                  3                   7                   10                  
Vardas1425           Pavarde1425           9                   3                   10                  10                  1                   10                  
Vardas1426           Pavarde1426           4                   6                   4                   5                   8                   2                   
Vardas1427           Pavarde1427           10                  2                   6                   6                   4                   2                   
Vardas1428           Pavarde1428           5                   10                  8                   7                   6                   10                  
Vardas1429           Pavarde1429           9                   5                   2                   2                   7                   7                   
Vardas1430           Pavarde1430           1                   2                   1                   10                  1                   8                   
Vardas1431           Pavarde1431           1                   4                   2                   3                   1                   3                   
Vardas1432           Pavarde1432           5                   9                   9                   6                   1                   9                   
Vardas1433           Pavarde1433           10                  2                   6                   1                   9                   9                   
Vardas1434           Pavarde1434           3                   4                   4                   5                   5                   6                   
Vardas1435           Pavarde1435           2                   6                   9                   5                   9                   3                   
Vardas1436           Pavarde1436           10                  7                   7                   6                   1                   3                   
Vardas1437           Pavarde1437           3                   3                   7                   5                   7                   5                   
Vardas1438           Pavarde1438           6                   1                   1                   5                   1                   2                   
Vardas1439           Pavarde1439           1                   6                   5                   7                   8                   7                   
Vardas1440           Pavarde1440           9                   3                   10                  1                   5                   1                   
Vardas1441           Pavarde1441           7                   7                   7                   10                  4                   9                   
Vardas1442           Pavarde1442           4                   3                   7                   6                   9                   4                   
Vardas1443           Pavarde1443           4                   10                  10                  1                   8                   7                   
Vardas1444           Pavarde1444           7                   7                   5                   4                   2                   10                  
Vardas1445           Pavarde1445           3                   1                   4                   5                   4                   2                   
Vardas1446           Pavarde1446           2                   2                   10                  6                   9                   5                   
Vardas1447           Pavarde1447           5                   3                   6                   7                   5                   2                   
Vardas1448           Pavarde1448           1                   8                   5                   7                   4                   3                   
Vardas1449           Pavarde1449           3                   5                   1                   8                   6                   1                   
Vardas1450           Pavarde1450           5                   4                   1                   8                   1                   2                   
Vardas1451           Pavarde1451           6                   3                   7                   4                   1                   8                   
Vardas1452           Pavarde1452           5                   1                   1                   5                   1                   4                   
Vardas1453           Pavarde1453           10                  5                   9                   7                   4                   2                   
Vardas1454           Pavarde1454           3                   2                   3                   6                   3                   10                  
Vardas1455           Pavarde1455           3                   1                   10                  8                   2                   8                   
Vardas1456           Pavarde1456           1                   1                   5                   7                   1                   6                   
Vardas1457           Pavarde1457           2                   1                   8                   4                   3                   5                   
Vardas1458           Pavarde1458           6                   3                   10                  9                   9                   7                   
Vardas1459           Pavarde1459           3                   5                   8                   8                   4                   10                  
Vardas1460           Pavarde1460           10                  9                   7                   8                   1                   1                   
Vardas1461           Pavarde1461           2                   1                   4                   3                   4                   2                   
Vardas1462           Pavarde1462           3                   7                   9                   1                   9                   1                   
Vardas1463           Pavarde1463           10                  10                  2                   6                   9                   10                  
Vardas1464           Pavarde1464           9                   1                   4                   7                   8                   4                   
Vardas1465           Pavarde1465           7                   3                   4                   1                   10                  4                   
Vardas1466           Pavarde1466           2                   7                   5                   9                   9                   6                   
Vardas1467           Pavarde1467           5                   10                  7                   10                  2                   6                   
Vardas1468           Pavarde1468           5                   8                   6                   1                   8                   9                   
Vardas1469           Pavarde1469           4                   1                   2                   6                   5                   10                  
Vardas1470           Pavarde1470           4                   7                   1                   7                   4                   9                   
Vardas1471           Pavarde1471           5                   10                  6                   7                   9                   7                   
Vardas1472           Pavarde1472           4                   8                   10                  1                   9                   8                   
Vardas1473           Pavarde1473           5                   4                   10                  1                   8                   8                   
Vardas1474           Pavarde1474           1                   4                   2                   7                   9                   9                   
Vardas1475           Pavarde1475           9                   10                  10                  9                   2                   3                   
Vardas1476           Pavarde1476           8                   7                   10                  4                   5                   7                   
Vardas1477           Pavarde1477           2                   10                  3                   2                   2                   7                   
Vardas1478           Pavarde1478           9                   5                   1                   5                   4                   2                   
Vardas1479           Pavarde1479           1                   4                   8                   2                   9                   2                   
Vardas1480           Pavarde1480           10                  2                   10                  3                   6                   8                   
Vardas1481           Pavarde1481           1                   7                   7                   8                   7                   3                   
Vardas1482           Pavarde1482           6                   2                   3                   2                   3                   9                   
Vardas1483           Pavarde1483           1                   6                   4                   6                   8                   9                   
Vardas1484           Pavarde1484           4                   9                   7                   9                   3                   2                   
Vardas1485           Pavarde1485           3                   8                   10                  2                   8                   4                   
Vardas1486           Pavarde1486           9                   2                   10                  8                   4                   8                   
Vardas1487           Pavarde1487           9                   6                   2                   6                   6                   1                   
Vardas1488           Pavarde1488           3                   5                   6                   10                  9                   1                   
Vardas1489           Pavarde1489           2                   6                   1                   3                   4                   5                   
Vardas1490           Pavarde1490           4                   10                  1                   2                   2                   7                   
Vardas1491           Pavarde1491           4                   7                   5                   8                   2                   3                   
Vardas1492           Pavarde1492           5                   4                   9                   3                   10                  10                  
Vardas1493           Pavarde1493           6                   9                   1                   6                   6                   7                   
Vardas1494           Pavarde1494           6                   5                   5                   10                  9                   7                   
Vardas1495           Pavarde1495           7                   2                   1                   10                  7                   2                   
Vardas1496           Pavarde1496           7                   9                   1                   6                   7                   9                   
Vardas1497           Pavarde1497           2                   5                   3                   6                   4                   1                   
Vardas1498           Pavarde1498           7                   9                   4                   9                   4                   2                   
Vardas1499           Pavarde1499           8                   10                  2                   8                   9                   2                   
Vardas1500           Pavarde1500           9                   5                   4                   7                   7                   10                  
Vardas1501           Pavarde1501           3                   2                   8                   3                   3                   6                   
Vardas1502           Pavarde1502           2                   2                   7                   4                   2                   4                   
Vardas1503           Pavarde1503           9                   6                   7                   10                  6                   8                   
Vardas1504           Pavarde1504           7                   2                   8                   6                   5                   7                   
Vardas1505           Pavarde1505           10                  4                   2                   8                   1                   7                   
Vardas1506           Pavarde1506           3                   6                   6                   7                   6                   6                   
Vardas1507           Pavarde1507           5                   6                   5                   2                   8                   6                   
Vardas1508           Pavarde1508           10                  2                   1                   5                   8                   7                   
Vardas1509           Pavarde1509           4                   6                   9                   8                   3                   8                   
Vardas1510           Pavarde1510           9                   6                   8                   9                   4                   6                   
Vardas1511           Pavarde1511           6                   4                   6                   8                   6                   6                   
Vardas1512           Pavarde1512           1                   4                   3                   8                   7                   9                   
Vardas1513           Pavarde1513           9                   3                   10                  9                   2                   7                   
Vardas1514           Pavarde1514           8                   3                   2                   9                   8                   4                   
Vardas1515           Pavarde1515           7                   2                   5                   6                   2                   8                   
Vardas1516           Pavarde1516           2                   1                   5                   7                   2                   10                  
Vardas1517           Pavarde1517           3                   5                   7                   2                   7                   7                   
Vardas1518           Pavarde1518           1                   2                   6                   5                   5                   6                   
Vardas1519           Pavarde1519           6                   2                   3                   2                   4                   2                   
Vardas1520           Pavarde1520           4                   6                   3                   6                   8                   4                   
Vardas1521           Pavarde1521           5                   4                   4                   3                   4                   4                   
Vardas1522           Pavarde1522           5                   6                   10                  10                  9                   6                   
Vardas1523           Pavarde1523           7                   7                   5                   4                   3                   5                   
Vardas1524           Pavarde1524           8                   8                   7                   8                   4                   1                   
Vardas1525           Pavarde1525           9                   8                   4                   8                   6                   7                   
Vardas1526           Pavarde1526           5                   3                   2                   4                   6                   5                   
Vardas1527           Pavarde1527           1                   10                  4                   10                  6                   5                   
Vardas1528           Pavarde1528           5                   1                   10                  5                   2                   6                   
Vardas1529           Pavarde1529           9                   3                   4                   1                   8                   1                   
Vardas1530           Pavarde1530           4                   3                   4                   2                   1                   3                   
Vardas1531           Pavarde1531           2                   2                   5                   3                   6                   5                   
Vardas1532           Pavarde1532           7                   9                   3                   1                   7                   5                   
Vardas1533           Pavarde1533           9                   6                   4                   10                  4                   3                   
Vardas1534           Pavarde1534           7                   3                   4                   1                   10                  10                  
Vardas1535           Pavarde1535           9                   9                   4                   9                   8                   1                   
Vardas1536           Pavarde1536           7                   5                   5                   8                   2                   4                   
Vardas1537           Pavarde1537           1                   7                   10                  3                   7                   2                   
Vardas1538           Pavarde1538           3                   10                  3                   8                   4                   4                   
Vardas1539           Pavarde1539           7                   2                   10                  4                   6                   7                   
Vardas1540           Pavarde1540           4                   2                   9                   9                   8                   9                   
Vardas1541           Pavarde1541           7                   7                   1                   9                   8                   4                   
Vardas1542           Pavarde1542           4                   1                   7                   3                   4                   9                   
Vardas1543           Pavarde1543           9                   5                   1                   4                   1                   6                   
Vardas1544           Pavarde1544           4                   6                   3                   5                   3                   3                   
Vardas1545           Pavarde1545           5                   7                   1                   6                   1                   5                   
Vardas1546           Pavarde1546           6                   6                   8                   4                   1                   2                   
Vardas1547           Pavarde1547           3                   10                  9                   3                   4                   5                   
Vardas1548           Pavarde1548           6                   7                   9                   7                   10                  8                   
Vardas1549           Pavarde1549           3                   1                   8                   7                   7                   1                   
Vardas1550           Pavarde1550           7                   10                  8                   2                   8                   6                   
Vardas1551           Pavarde1551           6                   10                  9                   8                   7                   4                   
Vardas1552           Pavarde1552           3                   6                   1                   3                   1                   8                   
Vardas1553           Pavarde1553           1                   1                   2                   8                   1                   3                   
Vardas1554           Pavarde1554           2                   3                   8                   9                   3                   4                   
Vardas1555           Pavarde1555           2                   3                   10                  4                   6                   2                   
Vardas1556           Pavarde1556           1                   4                   10                  9                   10                  2                   
Vardas1557           Pavarde1557           2                   7                   10                  8                   9                   6                   
Vardas1558           Pavarde1558           5                   9                   4                   6                   4                   6                   
Vardas1559           Pavarde1559           3                   1                   2                   6                   9                   9                   
Vardas1560           Pavarde1560           9                   4                   5                   2                   2                   7                   
Vardas1561           Pavarde1561           8                   2                   1                   8                   8                   9                   
Vardas1562           Pavarde1562           2                   9                   8                   9                   9                   9                   
Vardas1563           Pavarde1563           9                   7                   9                   1                   8                   7                   
Vardas1564           Pavarde1564           1                   4                   4                   4                   8                   2                   
Vardas1565           Pavarde1565           1                   8                   3                   2                   7                   4                   
Vardas1566           Pavarde1566           1                   1                   2                   3                   1                   6                   
Vardas1567           Pavarde1567           2                   6                   1                   8                   1                   10                  
Vardas1568           Pavarde1568           1                   2                   3                   6                   2                   3                   
Vardas1569           Pavarde1569           1                   7                   10                  6                   1                   3                   
Vardas1570           Pavarde1570           10                  8                   6                   4                   3                   4                   
Vardas1571           Pavarde1571           8                   2                   2                   6                   7                   9                   
Vardas1572           Pavarde1572           5                   4                   9                   5                   9                   3                   
Vardas1573           Pavarde1573           5                   10                  7                   6                   10                  5                   
Vardas1574           Pavarde1574           7                   4                   1                   4                   10                  2                   
Vardas1575           Pavarde1575           8                   10                  3                   7                   8                   9                   
Vardas1576           Pavarde1576           2                   7                   6                   2                   9                   5                   
Vardas1577           Pavarde1577           4                   2                   8                   4                   6                   8                   
Vardas1578           Pavarde1578           1                   8                   8                   9                   4                   2                   
Vardas1579           Pavarde1579           8                   3                   3                   2                   6                   10                  
Vardas1580           Pavarde1580           6                   9                   9                   7                   5                   7                   
Vardas1581           Pavarde1581           7                   9                   6                   4                   10                  5                   
Vardas1582           Pavarde1582           2                   7                   6                   2                   1                   7                   
Vardas1583           Pavarde1583           4                   5                   9                   9                   3                   1                   
Vardas1584           Pavarde1584           6                   5                   1                   1                   8                   1                   
Vardas1585           Pavarde1585           10                  1                   5                   4                   9                   8                   
Vardas1586           Pavarde1586           1                   1                   2                   1                   1                   7                   
Vardas1587           Pavarde1587           4                   9                   1                   7                   1                   4                   
Vardas1588           Pavarde1588           3                   9                   5                   9                   6                   4                   
Vardas1589           Pavarde1589           4                   7                   2                   2                   7                   1                   
Vardas1590           Pavarde1590           5                   7                   8                   4                   5                   4                   
Vardas1591           Pavarde1591           4                   6                   7                   2                   3                   7                   
Vardas1592           Pavarde1592           8                   6                   9                   9                   2                   10                  
Vardas1593           Pavarde1593           7                   8                   4                   10                  1                   9                   
Vardas1594           Pavarde1594           9                   7                   4                   2                   2                   8                   
Vardas1595           Pavarde1595           10                  2                   7                   3                   5                   10                  
Vardas1596           Pavarde1596           1                   3                   8                   4                   3                   6                   
Vardas1597           Pavarde1597           8                   2                   4                   8                   4                   1                   
Vardas1598           Pavarde1598           7                   9                   9                   10                  3                   10                  
